idx,op,name,ne0,ne1,ne2,ne3,us
0,RESHAPE,decoder.conv_out1.0.weight (reshaped),240,1,1,1,4
1,PERMUTE,decoder.block1.conv_out.weight (permuted),3,3,64,192,0
2,RESHAPE,decoder.block1.dec_att.conv1.weight (reshaped),1280,64,1,1,0
3,PERMUTE,decoder.block1.dec_att.aspp1.conv.conv.weight (permuted),1,1,64,256,0
4,PERMUTE,decoder.block1.conv_in.weight (permuted),3,3,480,64,0
5,PERMUTE,decoder.block2.conv_out.weight (permuted),3,3,64,384,0
6,RESHAPE,decoder.block2.dec_att.conv1.weight (reshaped),1280,64,1,1,0
7,PERMUTE,decoder.block2.dec_att.aspp1.conv.conv.weight (permuted),1,1,64,256,0
8,PERMUTE,decoder.block2.conv_in.weight (permuted),3,3,960,64,0
9,PERMUTE,decoder.block3.conv_out.weight (permuted),3,3,64,768,0
10,RESHAPE,decoder.block3.dec_att.conv1.weight (reshaped),1280,64,1,1,0
11,PERMUTE,decoder.block3.dec_att.aspp1.conv.conv.weight (permuted),1,1,64,256,0
12,PERMUTE,decoder.block3.conv_in.weight (permuted),3,3,1920,64,1
13,PERMUTE,decoder.block4.conv_out.weight (permuted),3,3,64,1536,0
14,RESHAPE,decoder.block4.dec_att.conv1.weight (reshaped),1280,64,1,1,0
15,PERMUTE,decoder.block4.dec_att.aspp1.conv.conv.weight (permuted),1,1,64,256,0
16,PERMUTE,decoder.block4.conv_in.weight (permuted),3,3,3456,64,0
17,PERMUTE,squeeze_module.0.conv_out.weight (permuted),3,3,64,3072,0
18,RESHAPE,squeeze_module.0.dec_att.conv1.weight (reshaped),1280,64,1,1,0
19,PERMUTE,squeeze_module.0.dec_att.aspp1.conv.conv.weight (permuted),1,1,64,256,0
20,PERMUTE,squeeze_module.0.conv_in.weight (permuted),3,3,5760,64,1
21,PERMUTE,bb.patch_embed.proj.weight (permuted),4,4,3,192,0
22,PERMUTE,input (permuted),1024,1024,3,1,0
23,CONV_2D,node_23,256,256,192,1,25449
24,PERMUTE, (permuted),192,256,256,1,6
25,ADD,node_25,192,256,256,1,6399
26,RESHAPE, (reshaped),192,65536,1,1,4
27,NORM,node_27,192,65536,1,1,6288
28,MUL,node_28,192,65536,1,1,2576
29,ADD,bb.patch_embed.norm,192,65536,1,1,2309
30,RESHAPE,bb.patch_embed,192,256,256,1,1
31,RESHAPE,bb.patch_embed (reshaped),192,65536,1,1,0
32,NORM,node_32,192,65536,1,1,6951
