idx,op,name,ne0,ne1,ne2,ne3,us
0,CPY,decoder.block1.dec_att.aspp1.conv.conv.weight (copy),1,1,64,256,1224
1,CPY,decoder.block2.dec_att.aspp1.conv.conv.weight (copy),1,1,64,256,10
2,CPY,decoder.block3.dec_att.aspp1.conv.conv.weight (copy),1,1,64,256,7
3,CPY,decoder.block4.dec_att.aspp1.conv.conv.weight (copy),1,1,64,256,8
4,CPY,squeeze_module.0.dec_att.aspp1.conv.conv.weight (copy),1,1,64,256,8
5,PERMUTE,bb.patch_embed.proj.weight (permuted),4,4,3,192,1
6,CONT,bb.patch_embed.proj.weight (permuted) (cont),4,4,3,192,27
7,PERMUTE,input (permuted),1024,1024,3,1,0
8,CONT,input (permuted) (cont),1024,1024,3,1,2589
9,IM2COL,node_9,48,256,256,1,718
10,RESHAPE, (reshaped),48,65536,1,1,1
11,RESHAPE,bb.patch_embed.proj.weight (permuted) (cont) (reshaped),48,192,1,1,1
12,MUL_MAT,node_12,65536,192,1,1,45185
13,RESHAPE, (reshaped),256,256,1,192,4
14,PERMUTE, (reshaped) (permuted),256,256,192,1,1
15,CONT, (reshaped) (permuted) (cont),256,256,192,1,320
16,PERMUTE, (reshaped) (permuted) (cont) (permuted),192,256,256,1,0
17,CONT, (reshaped) (permuted) (cont) (permuted) (cont),192,256,256,1,328
18,CPY,bb.patch_embed.proj.bias (copy),192,1,1,1,10
19,ADD,node_19,192,256,256,1,2976
20,RESHAPE, (reshaped),192,65536,1,1,1
21,NORM,node_21,192,65536,1,1,896
22,CPY,bb.patch_embed.norm.weight (copy),192,1,1,1,8
23,MUL,node_23,192,65536,1,1,331
24,CPY,bb.patch_embed.norm.bias (copy),192,1,1,1,8
25,ADD,bb.patch_embed.norm,192,65536,1,1,326
26,RESHAPE,bb.patch_embed,192,256,256,1,0
27,RESHAPE,bb.patch_embed (reshaped),192,65536,1,1,1
28,NORM,node_28,192,65536,1,1,332
29,CPY,bb.layers.0.blocks.0.norm1.weight (copy),192,1,1,1,7
30,MUL,node_30,192,65536,1,1,317
31,CPY,bb.layers.0.blocks.0.norm1.bias (copy),192,1,1,1,7
32,ADD,bb.layers.0.blocks.0.norm1,192,65536,1,1,316
33,RESHAPE,bb.layers.0.blocks.0.norm1 (reshaped),192,256,256,1,0
34,PAD,node_34,192,264,264,1,547
35,RESHAPE, (reshaped),2304,22,12,22,0
36,PERMUTE, (reshaped) (permuted),2304,12,22,22,0
37,CONT, (reshaped) (permuted) (cont),2304,12,22,22,346
38,RESHAPE, (reshaped) (permuted) (cont) (reshaped),192,144,484,1,1
39,MUL_MAT,node_39,576,144,484,1,1972
40,CPY,bb.layers.0.blocks.0.attn.qkv.bias (copy),576,1,1,1,8
41,ADD,node_41,576,144,484,1,980
